Sample	Isolation_Source
ERR3336677	Nasal
ERR3336678	Nasal
ERR3336679	Nasal
ERR3336680	Nasal
ERR3336681	Nasal
GCA_004343675	Skin
ERR3336682	Nasal
GCA_006337185	Skin
ERR3336683	Nasal
GCA_006337205	Skin
ERR3336684	Nasal
GCA_006337225	Skin
ERR3336685	Nasal
GCA_008726255	Urine
ERR3336686	Nasal
GCA_008726465	Urine
ERR3336687	Nasal
GCA_008726735	Urine
ERR3336688	Nasal
GCA_008726775	Urine
ERR3336689	Nasal
GCA_008726905	Urine
ERR3336690	Nasal
GCA_008727015	Urine
ERR3336691	Nasal
GCA_008728125	Urine
ERR3336692	Nasal
GCA_010132335	Skin
ERR3336693	Nasal
GCA_011307595	Skin
ERR3336694	Nasal
GCA_011307695	Skin
ERR3336695	Nasal
GCA_012029805	Urine
ERR3336696	Nasal
GCA_012029995	Skin
ERR3336697	Nasal
GCA_012030625	Urine
ERR3336698	Nasal
GCA_013317125	Skin
ERR3336699	Nasal
GCA_015273045	Skin
ERR3336700	Nasal
GCA_015273105	Skin
ERR3336701	Nasal
GCA_015273135	Skin
ERR3336702	Nasal
GCA_015273145	Skin
ERR3336703	Nasal
GCA_015273185	Skin
ERR3336704	Nasal
GCA_015273245	Skin
ERR3336705	Nasal
GCA_015273365	Skin
ERR3336706	Nasal
GCA_018919325	Urine
ERR3336707	Nasal
GCA_018919425	Urine
ERR3336708	Nasal
GCA_024742215	Urine
ERR3336709	Nasal
GCA_030214925	Urine
ERR3336710	Nasal
GCA_030216685	Urine
ERR3336711	Nasal
GCA_030224335	Urine
ERR3336712	Nasal
GCA_030224565	Urine
ERR3336713	Nasal
ERR3336714	Nasal
GCA_030224645	Urine
GCA_000257945	Urine
GCA_030225005	Urine
GCA_000783535	Urine
GCA_030225165	Urine
GCA_003687035	Skin
GCA_030225195	Urine
GCA_003687085	Skin
GCA_003687235	Skin
GCA_003687255	Skin
GCA_003687275	Skin
GCA_030225265	Urine
GCA_030226285	Urine
GCA_030227675	Urine
GCA_030227685	Urine
GCA_003687345	Skin
GCA_030227845	Urine
GCA_003687365	Skin
GCA_030229935	Urine
GCA_003856395	Skin
GCA_030234055	Urine
GCA_003856455	Skin
GCA_003956755	Skin
GCA_003956865	Skin
GCA_003956875	Skin
GCA_003979615	Skin
GCA_003979695	Skin
GCA_003979705	Skin
GCA_003979795	Skin
GCA_003979825	Skin
GCA_900458655	Urine
GCA_044902125	Urine
GCA_040718075	Urine
GCA_040718025	Urine
GCA_040718005	Urine
GCA_040717985	Urine
GCA_040717935	Urine
GCA_040717895	Urine
